Site,s_graph_value,s_table_name
BANNC,Phaeophytin a (by vol) (mg/L),sensor_repository_01775
BANNC,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_01787
BANNC,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_01784
BANNC,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_01746
BANNC,Program Code,sensor_repository_01687
BANNC,Program Site Ref,sensor_repository_01686
BANNC,Salinity (ppt),sensor_repository_01696
BANNC,Sample Type,sensor_repository_01688
BANNC,Secchi depth (m),sensor_repository_01716
BANNC,Security Level,sensor_repository_01694
BANNC,SiO2 (sol react) (ug/L),sensor_repository_01755
BANNC,SiO2-Si (sol react) (ug/L),sensor_repository_01758
BANNC,Site Ref,sensor_repository_01685
BANNC,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_01761
BANNC,Temperature (deg C),sensor_repository_01702
BANNC,Tide status,sensor_repository_01794
BANNC,Turbidity (NTU),sensor_repository_01713
BANNC,Water level (SLE) (m),sensor_repository_01796
BANNC,Wind direction (°),sensor_repository_01799
BANNC,Wind speed (knot),sensor_repository_01802
BAYMD2,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_84823
HELENR2,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_85061
BAYMD,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_01987
BAYMD,Bottom Depth (m),sensor_repository_01957
BAYMD,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_01990
BAYMD,Chlorophyll a (by vol) (mg/L),sensor_repository_02001
BAYMD2,Chlorophyll a (in situ) (ug/L),sensor_repository_84852
HELENR2,Chlorophyll a (in situ) (ug/L),sensor_repository_85090
BAYMD,Chlorophyll a (in situ) (RFU),sensor_repository_02019
BAYMD2,Chlorophyll a (in situ) (RFU),sensor_repository_84855
HELENR2,Chlorophyll a (in situ) (RFU),sensor_repository_85093
BAYMD,Chlorophyll a (in situ) (ug/L),sensor_repository_02016
BAYMD2,Chlorophyll a (by vol) (mg/L),sensor_repository_84837
HELENR2,Chlorophyll a (by vol) (mg/L),sensor_repository_85075
BAYMD2,Chlorophyll b (by vol) (mg/L),sensor_repository_84840
HELENR2,Chlorophyll b (by vol) (mg/L),sensor_repository_85078
BAYMD,Chlorophyll b (by vol) (mg/L),sensor_repository_02004
BAYMD,Chlorophyll c (by vol) (mg/L),sensor_repository_02007
BAYMD2,Chlorophyll c (by vol) (mg/L),sensor_repository_84843
HELENR2,Chlorophyll c (by vol) (mg/L),sensor_repository_85081
BAYMD,Chlorophyll sample volume (mL),sensor_repository_02010
BAYMD2,Chlorophyll sample volume (mL),sensor_repository_84846
HELENR2,Chlorophyll sample volume (mL),sensor_repository_85084
BAYMD,Cloud cover (%),sensor_repository_02029
BAYMD,Collection Method,sensor_repository_01927
BAYMD2,Conductivity @ 25 deg C (uS/cm),sensor_repository_84773
HELENR2,Conductivity @ 25 deg C (uS/cm),sensor_repository_85011
BAYMD,Conductivity @ 25 deg C (uS/cm),sensor_repository_01937
BAYMD,Depth (m),sensor_repository_01930
BAYMD,Depth _s (m),sensor_repository_01929
BAYMD,Depth measuring point,sensor_repository_01928
BAYMD,Depth To (m),sensor_repository_01931
BAYMD2,Dissolved Oxygen (mg/L),sensor_repository_84779
HELENR2,Dissolved Oxygen (mg/L),sensor_repository_85017
BAYMD,Dissolved Oxygen (% saturation),sensor_repository_01946
BAYMD,Dissolved Oxygen (mg/L),sensor_repository_01943
BAYMD2,Dissolved Oxygen (% saturation),sensor_repository_84782
HELENR2,Dissolved Oxygen (% saturation),sensor_repository_85020
BAYMD2,DOC as NPOC ,sensor_repository_84826
HELENR2,DOC as NPOC ,sensor_repository_85064
BAYMD,Flow status,sensor_repository_02031
BAYMD,N (sum sol org) {DON} (ug/L),sensor_repository_01969
BAYMD2,N (sum sol org) {DON} (ug/L),sensor_repository_84805
HELENR2,N (sum sol org) {DON} (ug/L),sensor_repository_85043
BAYMD,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_01963
BAYMD2,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_84799
HELENR2,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_85037
BAYMD2,N (tot kjel) {TKN} (ug/L),sensor_repository_84808
HELENR2,N (tot kjel) {TKN} (ug/L),sensor_repository_85046
BCMDBPI,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_02225
BCMDBPI,Bottom Depth (m),sensor_repository_02195
BCMDBPI,C (sol org) {DOC DOC as NPOC} (ug/L),sensor_repository_02228
BCMDBPI,Chlorophyll a (by vol) (mg/L),sensor_repository_02239
BCMDBPI,Chlorophyll a (in situ) (RFU),sensor_repository_02257
BCMDBPI,Chlorophyll a (in situ) (ug/L),sensor_repository_02254
BCMDBPI,Chlorophyll b (by vol) (mg/L),sensor_repository_02242
BCMDBPI,Chlorophyll c (by vol) (mg/L),sensor_repository_02245
BCMDBPI,Chlorophyll sample volume (mL),sensor_repository_02248
BCMDBPI,Cloud cover (%),sensor_repository_02267
BCMDBPI,Collection Method,sensor_repository_02165
BCMDBPI,Conductivity @ 25 deg C (uS/cm),sensor_repository_02175
BCMDBPI,Depth (m),sensor_repository_02168
BCMDBPI,Depth _s (m),sensor_repository_02167
BCMDBPI,Depth measuring point,sensor_repository_02166
BCMDBPI,Depth To (m),sensor_repository_02169
BCMDBPI,Dissolved Oxygen (% saturation),sensor_repository_02184
BCMDBPI,Dissolved Oxygen (mg/L),sensor_repository_02181
BCMDBPI,Flow status,sensor_repository_02269
BCMDBPI,N (sum sol org) {DON} (ug/L),sensor_repository_02207
BCMDBPI,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_02201
BCMDBPI,N (tot kjel) {TKN} (ug/L),sensor_repository_02210
BCMDBPI,N (tot) {TN pTN} (ug/L),sensor_repository_02198
BCMDBPI,NH3-N/NH4-N (sol) (ug/L),sensor_repository_02204
BCMDBPI,NO2-N (sol) (ug/L),sensor_repository_02213
BCMDBPI,NO3-N (sol) (ug/L),sensor_repository_02216
BCMDBPI,Null reading,sensor_repository_02265
BCMDBPI,P (tot) {TP pTP} (ug/L),sensor_repository_02219
BCMDBPI,pH,sensor_repository_02186
BCMDBPI,Phaeophytin a (by vol) (mg/L),sensor_repository_02251
BCMDBPI,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_02263
BCMDBPI,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_02260
BCMDBPI,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_02222
BCMDBPI,Program Code,sensor_repository_02163
BCMDBPI,Program Site Ref,sensor_repository_02162
BCMDBPI,Salinity (ppt),sensor_repository_02172
BCMDBPI,Sample Type,sensor_repository_02164
BCMDBPI,Secchi depth (m),sensor_repository_02192
BCMDBPI,Security Level,sensor_repository_02170
BCMDBPI,SiO2 (sol react) (ug/L),sensor_repository_02231
BCMDBPI,SiO2-Si (sol react) (ug/L),sensor_repository_02234
BCMDBPI,Site Ref,sensor_repository_02161
BCMDBPI,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_02237
BCMDBPI,Temperature (deg C),sensor_repository_02178
BCMDBPI,Tide status,sensor_repository_02270
BCMDBPI,Turbidity (NTU),sensor_repository_02189
BCMDBPI,Water level (SLE) (m),sensor_repository_02272
BCMDBPI,Wind direction (°),sensor_repository_02275
BCMDBPI,Wind speed (knot),sensor_repository_02278
BENNB,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_02463
BENNB,Bottom Depth (m),sensor_repository_02433
BENNB,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_02466
BENNB,Chlorophyll a (by vol) (mg/L),sensor_repository_02477
BENNB,Chlorophyll a (in situ) (RFU),sensor_repository_02495
BENNB,Chlorophyll a (in situ) (ug/L),sensor_repository_02492
BENNB,Chlorophyll b (by vol) (mg/L),sensor_repository_02480
BENNB,Chlorophyll c (by vol) (mg/L),sensor_repository_02483
BENNB,Chlorophyll sample volume (mL),sensor_repository_02486
BENNB,Cloud cover (%),sensor_repository_02505
BENNB,Collection Method,sensor_repository_02403
BENNB,Conductivity @ 25 deg C (uS/cm),sensor_repository_02413
BENNB,Depth (m),sensor_repository_02406
BENNB,Depth _s (m),sensor_repository_02405
BENNB,Depth measuring point,sensor_repository_02404
BENNB,Depth To (m),sensor_repository_02407
BENNB,Dissolved Oxygen (% saturation),sensor_repository_02422
BENNB,Dissolved Oxygen (mg/L),sensor_repository_02419
BENNB,Flow status,sensor_repository_02507
BENNB,N (sum sol org) {DON} (ug/L),sensor_repository_02445
BENNB,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_02439
